No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Total Quantity,Required Quantity,Sectoer,Date (Daily),Contractor,Element (all),Executed Quantity (m3),Target Daily Rate
0,Tuesday,2025-12-09,36428,36,Karim Salam,DPL,2025-12-08,,,48.05,Fill,G0-1,BH-4,,LAYER-3,11,,,APPROVED AS NOTED,DONE,2,EIDG,1,Kamal Al Salmy,151226.7577,151227.0334,30.2,South Sector,2025-11-26,Al Amal,BH-18,1127.12,618.323
1,Tuesday,2025-12-09,36429,36,Abnaa Khalifa,DPL,2025-12-08,,,48.89,Fill,G0-1,BH-3,,LAYER-2,13,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Salmy,125545.073,125545.073,25.1,South Sector,2025-11-27,Al Amal,BH-18,1127.12,618.323
2,Tuesday,2025-12-09,36425,36,Al Masriya for Construction & Development,DPL,2025-12-08,,,                                                                                                                                                                                         ,Fill,G0-1,BH-17,,LAYER-2,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Qahira,170396.8516,170396.8516,34.1,North Sector,2025-11-29,Orascom,BH-30,4386.12,1248.282
3,Tuesday,2025-12-09,36426,36,Al Ikhlas Mohamed Abdelwahab,DPL,2025-12-08,,,44.048,Fill,G0-1,BH-12,,LAYER-6,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,Orascom,1014200.923,1040000.095,202.8,South Sector,2025-11-29,Al Amal,BH-18,2520.44,618.323
4,Tuesday,2025-12-09,36427,36,Al Qahira,DPL,2025-12-08,,,48.69,Fill,G0-1,BH-32,,LAYER-1,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Omraniya,262184.909,263983.65,52.4,South Sector,2025-11-29,Karim Salam,BH-4,550.00,1279.078
5,Tuesday,2025-12-09,36430,36,Al Magd Contracting,DPL,2025-12-08,,,47.72,Fill,G0-1,BH-15,,LAYER-1,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,Sky Line,86543.62925,86543.9345,17.3,South Sector,2025-11-29,Port Said West,BH-12,1619.04,902.862
6,Tuesday,2025-12-09,36432,36,Mecca Contracting,DPL,2025-12-08,,,49.18,Fill,G0-1,BH-44,,LAYER-3,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Shorouk Sun Rise,160487.744,164405.766,32.1,North Sector,2025-11-30,Orascom,BH-30,6800.12,1248.282
7,Tuesday,2025-12-09,36431,36,Karim Salam,DPL,2025-12-08,,,50.84,Fill,G0-1,BH-4,,LAYER-6,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,Fayek Office,259438.035,259437.945,51.9,South Sector,2025-11-30,Al Ittihadiya,BH-1,1367.00,1227.242
8,Tuesday,2025-12-09,36433,36,Al Nada,DPL,2025-12-08,,,39.62,Fill,G0-1,BH-8-1,,LAYER-4,19,,,REVISE,DONE,2,EIDG,1,Saad Sheita,70184.60925,70184.60925,14.0,South Sector,2025-11-30,EL Gharably,BH-14,681.51,848.609
9,Tuesday,2025-12-09,36434,36,Inshaa,DPL,2025-12-09,,,39.92,Fill,G0-1,BH-38,,LAYER-1,9,,,REVISE,DONE,2,EIDG,0,Mokhtar EL-Shenawy,669849.3525,693346.9094,134.0,South Sector,2025-11-30,Karim Salam,BH-4,1608.48,1279.078
10,Tuesday,2025-12-09,36435,36,Inshaa,DPL,2025-12-09,,,39.125,Fill,G0-1,BH-38,,LAYER-1,5,,,REVISE,DONE,2,EIDG,0,Inshaa,307922.6293,307923.0423,61.6,North Sector,2025-12-01,Mecca Contracting,BH-44,613.97,797.231
11,Tuesday,2025-12-09,36436,36,Inshaa,DPL,2025-12-09,,,49.83,Fill,G0-1,BH-38,,LAYER-1,5,,,APPROVED AS NOTED,DONE,2,EIDG,0,MTR for Import,272598.1005,272598.1005,54.5,North Sector,2025-12-01,Orascom,BH-30,3563.06,1248.282
12,Tuesday,2025-12-09,36437,36,Orascom,DPL,2025-12-08,,,52.22,Fill,G0-1,BH-30,,LAYER-5,12,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Emaratiya Company,161936.1805,161936.1805,32.4,South Sector,2025-12-01,Al Amal,BH-18,3563.06,618.323
13,Friday,2025-12-05,36303,36,Karim Salam,DPL,2025-12-04,,,72.26,Fill,G0-1,BH-4,,LAYER-1,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,Elhorya,129423.413,129423.413,25.9,South Sector,2025-12-01,EL Gharably,BH-14,1446.49,848.609
14,Friday,2025-12-05,36305,36,Al Ittihadiya,DPL,2025-12-04,,,45.506,Fill,G0-1,BH-1,,LAYER-2,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,EL-Hoda,118331.641,118331.641,23.7,South Sector,2025-12-01,Karim Salam,BH-4,3026.30,1279.078
15,Friday,2025-12-05,36352,36,Orascom,SOIL,2025-12-04,A-2-4,20.4%,,Stockpile,G0-1,,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,1,Al Alamiya,171226.2975,171226.3505,34.2,South Sector,2025-12-01,Port Said West,BH-12,1619.04,902.862
16,Saturday,2025-12-06,36349,36,Orascom,SOIL,2025-11-30,A-4,36.9%,,Bottom of excavation,G0-1,BH-29,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,6,Al Ittihadiya,300582.1754,305038.7594,60.1,North Sector,2025-12-02,Mecca Contracting,BH-44,1534.92,797.231
17,Saturday,2025-12-06,36356,36,Abnaa Khalifa,SOIL,2025-11-28,A-4,84.4%,,Bottom of excavation,G0-1,BH-3,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,8,Al Anoud Al Arabia,523597.4012,523598.0657,104.7,North Sector,2025-12-02,Orascom,BH-30,4568.00,1248.282
18,Saturday,2025-12-06,36355,36,Abnaa Khalifa,SOIL,2025-11-28,A-4,53.2%,,Bottom of excavation,G0-1,BH-3,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,8,Sinai,110389.2517,110389.2517,22.1,North Sector,2025-12-02,Orascom,BH-29,338.27,1294.388
19,Saturday,2025-12-06,36354,36,Abnaa Khalifa,SOIL,2025-12-02,A-4,85.6%,,Bottom of excavation,G0-1,BH-3,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,4,EL-Nada EL-Saadany,98361.40955,98361.40955,19.7,South Sector,2025-12-02,EL Gharably,BH-14,2345.01,848.609
20,Saturday,2025-12-06,36535,36,Abnaa Khalifa,SOIL,2025-12-02,A-4,68.4%,,Bottom of excavation,G0-1,BH-3,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,4,Abnaa Mohamed Badawy,70805.48,70805.48,14.2,South Sector,2025-12-02,EL-Nada EL-Saadany,BH-8,1758.04,451.199
21,Saturday,2025-12-06,36346,36,Al Masriya for Construction & Development,SOIL,2025-12-01,A-4,87.0%,,Bottom of excavation,G0-1,BH-17,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,Al Moassasa Al Masriya Al Motahida,114134.7655,114134.7655,22.8,South Sector,2025-12-02,Karim Salam,BH-4,3021.50,1279.078
22,Saturday,2025-12-06,36345,36,Al Masriya for Construction & Development,SOIL,2025-12-01,A-4,81.6%,,Bottom of excavation,G0-1,BH-17,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,Mecca Contracting,173796.4556,173796.4556,34.8,South Sector,2025-12-02,Port Said West,BH-12,1619.04,902.862
23,Saturday,2025-12-06,36344,36,Al Masriya for Construction & Development,SOIL,2025-12-01,A-4,78.8%,,Bottom of excavation,G0-1,BH-17,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,Benaa,114690.7433,115845.187,22.9,North Sector,2025-12-03,Orascom,BH-30,7521.00,1248.282
24,Tuesday,2025-12-02,36253,36,Karim Salam,DPL,2025-12-01,,,49.33,Fill,G0-1,BH-4,,LAYER-3,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,Cleopatra,134346.6365,134346.6365,26.9,North Sector,2025-12-03,Orascom,BH-29,945.67,1294.388
25,Tuesday,2025-12-02,36252,36,Karim Salam,DPL,2025-12-01,,,47.88,Fill,G0-1,BH-4,,LAYER-1,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Magd Contracting,95809.8005,95810,19.2,South Sector,2025-12-03,Al Amal,BH-18,3563.06,618.323
26,Tuesday,2025-12-02,36251,36,Benyan,DPL,2025-12-01,,,45.061,Fill,G0-1,BH-14,,LAYER-2,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,EL Gharably,250784.022,270147.719,50.2,South Sector,2025-12-03,EL-Nada EL-Saadany,BH-8,1758.00,451.199
27,Tuesday,2025-12-02,36250,36,Al Amal,DPL,2025-12-01,,,50.86,Fill,G0-1,BH-18,,LAYER-5,14,,,APPROVED AS NOTED,DONE,2,EIDG,1,Karim Salam,265680.4214,278838.9314,53.1,South Sector,2025-12-03,Karim Salam,BH-4,3021.50,1279.078
